test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
1046,1,170,0,0,0,60356,309,0
1046,2,170,0,0,130904,60356,310,0
1046,3,170,1,0,65452,60356,310,0
1046,4,170,0,0,130904,60356,312,0
1047,0,0,0,255,0,0,1,2
1047,1,0,0,255,0,0,1,2
1047,2,0,0,255,0,0,1,2
1047,3,0,0,255,0,0,1,2
1047,4,0,0,255,0,0,1,2
1048,0,27,0,1,0,60865,2,0
1048,1,27,0,0,0,59537,309,0
1048,2,27,0,0,130972,59537,310,0
1048,3,27,1,1,65524,60865,310,0
1048,4,27,0,0,130972,59537,312,0
1049,0,197,0,1,0,58982,2,0
1049,1,197,0,1,0,58982,209,0
1049,2,197,0,1,0,58982,210,0
1049,3,197,2,1,0,58982,210,0
1049,4,197,0,1,0,58982,212,0
1050,0,91,0,1,0,58982,2,0
1050,1,91,0,0,0,58982,209,0
1050,2,91,0,0,0,58982,210,0
1050,3,91,2,0,0,58982,210,0
1050,4,91,2,0,0,58982,212,0
1051,0,16,0,0,0,60768,2,0
1051,1,16,0,0,0,60768,7,0
1051,2,16,0,0,0,60768,8,0
1051,3,16,1,0,0,60768,8,0
1051,4,16,2,0,0,60768,10,0
1052,0,177,0,1,0,65032,2,0
1052,1,177,0,0,0,64910,309,0
1052,2,177,0,0,130004,64910,310,0
1052,3,177,0,0,130004,64910,310,0
1052,4,177,2,1,65534,65032,312,0
1053,0,118,0,0,0,65535,2,0
1053,1,118,0,1,0,63593,309,0
1053,2,118,0,1,131002,63593,310,0
1053,3,118,1,0,65522,65535,310,0
1053,4,118,0,1,131002,63593,312,0
1054,0,176,0,1,0,64712,2,0
1054,1,176,0,0,0,61827,309,0
1054,2,176,0,0,131024,61827,310,0
1054,3,176,0,0,131024,61827,310,0
1054,4,176,0,0,131024,61827,312,0
1055,0,172,0,255,0,0,2,1
1055,1,172,0,255,0,0,6,1
1055,2,172,0,255,0,0,7,1
1055,3,172,3,255,0,0,7,1
1055,4,172,0,255,0,0,9,1
1056,0,76,0,0,0,59367,2,0
1056,1,76,0,0,0,59367,309,0
1056,2,76,0,0,0,59367,310,0
1056,3,76,2,0,0,59367,310,0
1056,4,76,0,0,0,59367,312,0
1057,0,50,0,0,0,64570,2,0
1057,1,50,0,1,0,63931,309,0
1057,2,50,0,1,130866,63931,310,0
1057,3,50,1,1,65433,63931,310,0
1057,4,50,0,1,130866,63931,312,0
1058,0,223,0,1,0,58982,2,0
1058,1,223,0,0,0,61413,309,0
1058,2,223,0,0,0,61413,310,0
1058,3,223,2,0,0,61413,310,0
1058,4,223,3,0,0,61413,312,0
1059,0,2,0,1,0,58982,2,0
1059,1,2,0,1,0,58982,7,0
1059,2,2,0,1,0,58982,8,0
1059,3,2,1,1,0,58982,8,0
1059,4,2,3,1,0,58982,10,0
1060,0,71,0,0,0,58982,2,0
1060,1,71,0,0,0,58982,209,0
1060,2,71,0,0,0,58982,210,0
1060,3,71,2,0,0,58982,210,0
1060,4,71,3,0,0,58982,212,0
1061,0,112,0,0,0,63990,2,0
1061,1,112,0,1,0,64427,309,0
1061,2,112,0,1,0,64427,310,0
1061,3,112,0,1,0,64427,310,0
1061,4,112,0,1,0,64427,312,0
1062,0,168,0,0,0,62081,2,0
1062,1,168,0,0,0,62081,309,0
1062,2,168,0,0,130922,62081,310,0
1062,3,168,0,0,130922,62081,310,0
1062,4,168,0,0,130922,62081,312,0
1063,0,237,0,0,0,63277,2,0
1063,1,237,0,1,0,63930,309,0
1063,2,237,0,1,0,63930,310,0
1063,3,237,3,1,0,63930,310,0
1063,4,237,0,1,0,63930,312,0
