topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_max_utilization,mean_hops,mean_distance_km,mean_decision_latency_ms,requests,served,blocked
irregular12,distance,40,1,0.8932,0.9400641114232211,0.028689920091,0.2459,6.0524,0.02,10000,1068,8932
irregular12,distance,40,2,0.8978,0.9408820596868884,0.027013599737,0.2353,5.7836,0.02,10000,1022,8978
irregular12,distance,40,3,0.8994,0.9414898081510934,0.026128112172,0.2288,5.6068,0.02,10000,1006,8994
irregular12,distance,40,4,0.8997,0.9407550837487537,0.026395208689,0.2296,5.652,0.02,10000,1003,8997
irregular12,distance,40,5,0.896,0.9405670451923076,0.028084712544000003,0.2375,5.8444,0.02,10000,1040,8960
irregular12,distance,40,6,0.904,0.9386799802083333,0.024222978493,0.2239,5.4921,0.02,10000,960,9040
irregular12,distance,40,7,0.9019,0.9404799765545362,0.025018351756,0.2227,5.4856,0.02,10000,981,9019
irregular12,distance,40,8,0.8981,0.9407315672227675,0.027399187978,0.2346,5.7484,0.02,10000,1019,8981
irregular12,distance,40,9,0.9023,0.940092483111566,0.025793960893,0.2307,5.6878,0.02,10000,977,9023
irregular12,distance,40,10,0.9006,0.9393992545271629,0.025610160177,0.23,5.657,0.02,10000,994,9006
irregular12,distance,40,11,0.8969,0.9400187972841901,0.028500864936,0.2439,5.9711,0.02,10000,1031,8969
irregular12,distance,40,12,0.9028,0.9387852119341564,0.025381561254,0.2287,5.6493,0.02,10000,972,9028
irregular12,distance,40,13,0.8965,0.9408717449275363,0.028424412330000003,0.2463,6.0244,0.02,10000,1035,8965
irregular12,distance,40,14,0.8986,0.9407235601577908,0.026120140061,0.2255,5.5051,0.02,10000,1014,8986
irregular12,distance,40,15,0.899,0.9402730693069307,0.026843037677,0.2301,5.6156,0.02,10000,1010,8990
irregular12,distance,40,16,0.9007,0.9404737190332327,0.026708097359,0.2317,5.6552,0.02,10000,993,9007
irregular12,distance,40,17,0.9053,0.9409973379091868,0.022961795867,0.2137,5.2202,0.02,10000,947,9053
irregular12,distance,40,18,0.906,0.9401419010638299,0.023046282632000002,0.2101,5.1537,0.02,10000,940,9060
irregular12,distance,40,19,0.8955,0.9392208784688997,0.029302602527,0.2465,6.0993,0.02,10000,1045,8955
irregular12,distance,40,20,0.8999,0.9373345994005994,0.026348429033999997,0.2327,5.7603,0.02,10000,1001,8999
irregular12,distance,40,21,0.9005,0.9402304100502513,0.025887842989,0.2291,5.6143,0.02,10000,995,9005
irregular12,distance,40,22,0.8943,0.9391011163670766,0.028656050812,0.2455,6.0671,0.02,10000,1057,8943
irregular12,distance,40,23,0.9,0.939954426,0.026187020561000002,0.2314,5.6742,0.02,10000,1000,9000
irregular12,distance,40,24,0.9019,0.9392378185524974,0.025460528668000002,0.2244,5.5306,0.02,10000,981,9019
irregular12,distance,40,25,0.8976,0.94268491015625,0.025997841332,0.2293,5.6163,0.02,10000,1024,8976
irregular12,distance,40,26,0.8996,0.9402757509960159,0.026864932095000002,0.2349,5.7884,0.02,10000,1004,8996
irregular12,distance,40,27,0.9022,0.940737436605317,0.025494944785,0.2258,5.5454,0.02,10000,978,9022
irregular12,distance,40,28,0.8988,0.9393086304347826,0.027630677406,0.2352,5.7606,0.02,10000,1012,8988
irregular12,distance,40,29,0.9009,0.940371240161453,0.025301195569000002,0.2277,5.6027,0.02,10000,991,9009
irregular12,distance,40,30,0.9015,0.9399950832487309,0.024603486668,0.2141,5.2573,0.02,10000,985,9015
irregular12,ga_tcheby_proxy,2,1,0.1394,0.96752416744132,0.562076811014,1.8945,47.9249,0.5,10000,8606,1394
irregular12,ga_tcheby_proxy,2,2,0.1441,0.9673995115083538,0.5583317340270001,1.8857,47.8432,0.5,10000,8559,1441
irregular12,ga_tcheby_proxy,2,3,0.1388,0.9673810117278218,0.56636550927,1.9217,48.6288,0.5,10000,8612,1388
irregular12,ga_tcheby_proxy,2,4,0.1411,0.9672286391896613,0.566063172596,1.9188,48.7524,0.5,10000,8589,1411
irregular12,ga_tcheby_proxy,2,5,0.1448,0.9675193134939197,0.557631491258,1.8944,47.9893,0.5,10000,8552,1448
irregular12,ga_tcheby_proxy,2,6,0.1391,0.9676507237774421,0.562407846014,1.8866,47.7252,0.5,10000,8609,1391
irregular12,ga_tcheby_proxy,2,7,0.1383,0.9674415443889985,0.559307720444,1.8894,47.8962,0.5,10000,8617,1383
irregular12,ga_tcheby_proxy,2,8,0.1463,0.9675677389012532,0.557352886918,1.8908,47.9167,0.5,10000,8537,1463
irregular12,ga_tcheby_proxy,2,9,0.1415,0.9675374626674433,0.5594973859419999,1.8878,47.9239,0.5,10000,8585,1415
irregular12,ga_tcheby_proxy,2,10,0.1412,0.9674676038658593,0.562385341046,1.9046,48.3437,0.5,10000,8588,1412
irregular12,ga_tcheby_proxy,2,11,0.15,0.9675205690588236,0.5549999896240001,1.8777,47.6319,0.5,10000,8500,1500
irregular12,ga_tcheby_proxy,2,12,0.1418,0.9675989870659519,0.560693598888,1.8882,47.9047,0.5,10000,8582,1418
irregular12,ga_tcheby_proxy,2,13,0.1401,0.9675326864751714,0.560900839434,1.8863,47.8422,0.5,10000,8599,1401
irregular12,ga_tcheby_proxy,2,14,0.1379,0.9674845135135135,0.564144851468,1.9098,48.4005,0.5,10000,8621,1379
