x,exact,approx,abs_error,rel_error
1.89590520,0.150182327744,0.150194552529,1.222478562524e-05,8.139962809813e-05
1.90390480,0.148985721757,0.148989089799,3.368041918167e-06,2.260647448922e-05
1.91190440,0.147798649955,0.147814145113,1.549515840535e-05,1.048396477916e-04
1.91990400,0.146621036371,0.146639200427,1.816405669725e-05,1.238843834887e-04
1.92790360,0.145452805644,0.145464255741,1.145009692893e-05,7.872035797601e-05
1.93590320,0.144293883016,0.144289311055,4.571961210564e-06,3.168506602630e-05
1.94390280,0.143144194323,0.143160143435,1.594911199601e-05,1.114199012504e-04
1.95190240,0.142003665990,0.142015716793,1.205080207317e-05,8.486261244818e-05
1.95990200,0.140872225032,0.140886549172,1.432413971794e-05,1.016817879794e-04
1.96790160,0.139749799043,0.139757381552,7.582508400411e-06,5.425774099363e-05
1.97590120,0.138636316195,0.138643472953,7.156758480564e-06,5.162253785295e-05
1.98390080,0.137531705231,0.137544823377,1.311814611502e-05,9.538270534063e-05
1.99190040,0.136435895462,0.136446173800,1.027833781669e-05,7.533455753602e-05
1.99990000,0.135348816765,0.135347524224,1.292541227826e-06,9.549704672124e-06
2.00789961,0.134270399572,0.134279392691,8.993119225614e-06,6.697767530521e-05
2.01589921,0.133200574871,0.133211261158,1.068628755069e-05,8.022703776668e-05
2.02389881,0.132139274199,0.132143129625,3.855426046945e-06,2.917698822175e-05
2.03189841,0.131086429641,0.131090257115,3.827473424478e-06,2.919809041224e-05
2.03989801,0.130041973820,0.130052643626,1.066980535666e-05,8.204893422653e-05
2.04789761,0.129005839898,0.129015030137,9.190238791618e-06,7.123893615126e-05
2.05589721,0.127977961568,0.127992675669,1.471410191997e-05,1.149737168786e-04
2.06389681,0.126958273052,0.126970321202,1.204815083111e-05,9.489850910478e-05
2.07189641,0.125946709096,0.125963225757,1.651666130909e-05,1.311400784320e-04
2.07989601,0.124943204967,0.124956130312,1.292534542209e-05,1.034497668404e-04
2.08789561,0.123947696446,0.123949034867,1.338421354941e-06,1.079827534777e-05
2.09589521,0.122960119826,0.122957198444,2.921382481341e-06,2.375878037102e-05
2.10389481,0.121980411909,0.121980621042,2.091328338422e-07,1.714478829581e-06
2.11189441,0.121008510000,0.121019302663,1.079266267187e-05,8.918928653752e-05
2.11989401,0.120044351902,0.120057984283,1.363238097021e-05,1.135612026238e-04
2.12789361,0.119087875916,0.119096665904,8.789988006061e-06,7.381093951397e-05
2.13589321,0.118139020832,0.118150606546,1.158571434458e-05,9.806848120974e-05
2.14389281,0.117197725929,0.117204547189,6.821259066092e-06,5.820299849673e-05
2.15189241,0.116263930972,0.116273746853,9.815881238426e-06,8.442757058356e-05
2.15989201,0.115337576201,0.115342946517,5.370316185097e-06,4.656172222434e-05
2.16789161,0.114418602336,0.114427405203,8.802866895877e-06,7.693562686593e-05
2.17589121,0.113506950569,0.113527122911,2.017234213084e-05,1.777190033708e-04
2.18389081,0.112602562559,0.112611581598,9.019038286623e-06,8.009620812910e-05
2.19189041,0.111705380431,0.111711299306,5.918874510305e-06,5.298647645670e-05
2.19989001,0.110815346771,0.110826276036,1.092926502261e-05,9.862591546299e-05
2.20788961,0.109932404621,0.109956511788,2.410716658585e-05,2.192908148326e-04
2.21588921,0.109056497479,0.109071488518,1.499103835512e-05,1.374612123223e-04
2.22388881,0.108187569293,0.108201724269,1.415497687443e-05,1.308373685349e-04
2.23188841,0.107325564455,0.107347219043,2.165458828346e-05,2.017654264706e-04
2.23988801,0.106470427803,0.106477454795,7.026991876241e-06,6.599947066264e-05
2.24788761,0.105622104614,0.105622949569,8.449550112227e-07,7.999793360597e-06
2.25588721,0.104780540599,0.104783703365,3.162765233225e-06,3.018466229639e-05
2.26388681,0.103945681905,0.103959716182,1.403427754067e-05,1.350154935107e-04
2.27188641,0.103117475104,0.103135729000,1.825389593556e-05,1.770203926849e-04
2.27988601,0.102295867197,0.102296482795,6.155987390122e-07,6.017826094855e-06
2.28788561,0.101480805605,0.101487754635,6.949029569672e-06,6.847629488374e-05
2.29588521,0.100672238171,0.100694285496,2.204732553478e-05,2.190010467174e-04
2.30388481,0.099870113150,0.099885557336,1.544418625826e-05,1.546427231452e-04
2.31188441,0.099074379210,0.099076829175,2.449964778689e-06,2.472854029683e-05
2.31988401,0.098284985431,0.098298619059,1.363362704089e-05,1.387152572800e-04
2.32788361,0.097501881296,0.097520408942,1.852764567084e-05,1.900234685172e-04
2.33588321,0.096725016690,0.096726939803,1.923112692342e-06,1.988226787799e-05
2.34388281,0.095954341900,0.095948729686,5.612213472908e-06,5.848837438500e-05
2.35188241,0.095189807606,0.095201037613,1.123000758947e-05,1.179748953372e-04
2.35988201,0.094431364883,0.094438086519,6.721635752396e-06,7.118011860499e-05
2.36788161,0.093678965195,0.093690394446,1.142925054873e-05,1.220044491836e-04
2.37588121,0.092932560394,0.092942702373,1.014197910355e-05,1.091326770788e-04
2.38388081,0.092192102713,0.092210269322,1.816660869899e-05,1.970516797468e-04
2.39188041,0.091457544768,0.091462577249,5.032480347264e-06,5.502531650073e-05
2.39988001,0.090728839553,0.090730144198,1.304645100106e-06,1.437960748246e-05
2.40787961,0.090005940433,0.090012970169,7.029735676650e-06,7.810301901004e-05
2.41587921,0.089288801148,0.089295796139,6.994991344406e-06,7.834119457827e-05
2.42387881,0.088577375806,0.088578622110,1.246304672881e-06,1.407023702774e-05
2.43187841,0.087871618879,0.087876707103,5.088224470762e-06,5.790520916419e-05
2.43987801,0.087171485203,0.087174792096,3.306893009009e-06,3.793549004373e-05
2.44787761,0.086476929974,0.086488136110,1.120613649805e-05,1.295852720653e-04
2.45587721,0.085787908745,0.085786221103,1.687641528761e-06,1.967225397442e-05
2.46387681,0.085104377422,0.085099565118,4.812304093577e-06,5.654590562029e-05
2.47187641,0.084426292264,0.084428168154,1.875890667247e-06,2.221927099897e-05
2.47987601,0.083753609877,0.083756771191,3.161314199154e-06,3.774540827322e-05
2.48787561,0.083086287213,0.083085374228,9.129859004087e-07,1.098840652325e-05
2.49587521,0.082424281569,0.082429236286,4.954716872924e-06,6.011234527742e-05
2.50387481,0.081767550579,0.081773098344,5.547764973080e-06,6.784800246267e-05
2.51187441,0.081116052218,0.081116960403,9.081852048037e-07,1.119612185227e-05
2.51987401,0.080469744792,0.080476081483,6.336691412923e-06,7.874625959509e-05
